x,y
99.801,36.785
99.824,36.794
100.001,36.937
99.887,37.056
99.771,36.734
99.808,36.803
99.781,36.819
99.798,36.809
99.798,36.81
99.817,36.836
99.796,36.813
99.799,36.807
99.804,36.814
100.328,36.896
99.793,36.813
99.817,36.765
99.808,36.81
99.795,36.814
99.782,36.828
99.844,36.808
99.849,36.815
99.797,36.81
99.789,36.808
99.795,36.816
99.798,36.807
99.764,36.806
99.799,36.81
99.914,36.845
99.794,36.817
99.794,36.816
99.827,36.785
99.793,36.818
99.778,36.829
100.731,36.698
99.787,36.824
99.735,36.792
99.786,36.826
99.792,36.82
99.788,36.823
99.771,36.814
99.801,36.806
99.79,36.8
99.738,36.802
99.796,36.814
99.8,36.806
99.797,36.808
99.799,36.809
99.681,36.779
99.888,36.804
99.793,36.82
99.793,36.819
99.617,36.933
99.868,36.995
99.66,36.93
99.633,36.954
99.683,36.954
99.652,36.947
99.647,36.949
99.645,36.948
99.642,36.946
99.602,36.939
99.621,36.94
99.621,36.939
99.637,36.954
99.618,36.935
99.622,36.941
99.615,36.932
99.62,36.936
99.623,36.94
99.636,36.94
99.615,36.947
99.683,36.929
99.622,36.929
99.638,36.944
99.308,37.026
99.583,36.975
99.642,36.947
99.565,37.061
99.604,36.967
99.638,36.945
99.598,36.973
99.617,36.936
99.669,36.831
99.621,36.936
99.639,36.944
